date,sentence_count,hawkish_sentences,dovish_sentences,avg_confidence,finbert_net_hawkish_score
2008-01-30,353,95,18,0.8732434148997829,0.21813031161473087
2008-03-18,250,91,13,0.8569991259574891,0.312
2008-04-30,277,98,17,0.8540581436794157,0.2924187725631769
2008-08-05,203,71,10,0.8760088034744921,0.30049261083743845
2008-09-16,201,59,4,0.8844166847307291,0.2736318407960199
2008-10-29,301,86,17,0.8611797814155338,0.2292358803986711
2008-12-16,296,81,25,0.8584046876309691,0.1891891891891892
2009-01-28,381,70,17,0.864356730397292,0.13910761154855644
2009-03-18,266,37,27,0.8600179913796877,0.03759398496240601
2009-04-29,244,50,23,0.8666605018689985,0.11065573770491803
2009-06-24,312,59,36,0.8724790586110873,0.07371794871794872
2009-08-12,264,55,31,0.8589578552002256,0.09090909090909091
2009-09-23,275,51,38,0.8483303055979988,0.04727272727272727
2009-11-04,263,57,38,0.8707124664529649,0.07224334600760456
2009-12-16,313,69,32,0.8748000015656408,0.1182108626198083
2010-01-27,386,62,41,0.8801575356351279,0.054404145077720206
2010-03-16,235,45,19,0.8804279390801775,0.11063829787234042
2010-04-28,267,57,21,0.8805379411031244,0.1348314606741573
2010-06-23,303,71,25,0.8738025690462723,0.15181518151815182
2010-08-10,269,49,18,0.885249855239152,0.11524163568773234
2010-09-21,238,42,20,0.8887397946179414,0.09243697478991597
2010-11-03,267,64,30,0.8856524111849539,0.12734082397003746
2010-12-14,256,52,29,0.8707851551007479,0.08984375
2011-01-26,376,65,30,0.8873448119043036,0.09308510638297872
2011-03-15,253,68,28,0.8842297320073772,0.15810276679841898
2011-04-27,275,81,27,0.8794538778608496,0.19636363636363635
2011-06-22,258,70,22,0.8654210907082225,0.18604651162790697
2011-08-09,252,61,29,0.87498235158504,0.12698412698412698
2011-09-21,302,68,44,0.8511457816259751,0.07947019867549669
2011-11-02,271,65,35,0.8703371311685696,0.11070110701107011
2011-12-13,274,58,26,0.8601310469590835,0.11678832116788321
2012-01-25,378,65,34,0.8871186560108548,0.082010582010582
2012-03-13,225,47,29,0.8976126621829139,0.08
2012-04-25,251,52,30,0.8784106786982472,0.08764940239043825
2012-06-20,282,67,32,0.8729043454988629,0.12411347517730496
2012-08-01,256,60,40,0.8673010906204581,0.078125
2012-09-13,279,62,61,0.8709064244583089,0.0035842293906810036
2012-10-24,257,56,39,0.8840571549152122,0.06614785992217899
2012-12-12,277,59,44,0.8707393122709185,0.05415162454873646
2013-01-30,376,59,46,0.8922375308230837,0.034574468085106384
2013-03-20,264,63,56,0.8796964354361548,0.026515151515151516
2013-05-01,234,54,40,0.88762865603989,0.05982905982905983
2013-06-19,286,62,54,0.873511715472995,0.027972027972027972
2013-07-31,238,59,48,0.8912199104533476,0.046218487394957986
2013-09-18,247,65,51,0.8796168858947059,0.05668016194331984
2013-10-30,248,48,52,0.8791173180985835,-0.016129032258064516
2013-12-18,282,75,53,0.8999858391834489,0.07801418439716312
2014-01-29,390,74,38,0.8828740243728345,0.09230769230769231
2014-03-19,280,73,46,0.881735403410026,0.09642857142857143
2014-04-30,242,55,28,0.8779611752545537,0.1115702479338843
2014-06-18,288,77,30,0.8869238095358014,0.16319444444444445
2014-07-30,274,69,38,0.8813109022639963,0.11313868613138686
2014-09-17,287,85,33,0.8755954168607134,0.18118466898954705
2014-10-29,286,79,26,0.8735352489914927,0.1853146853146853
2014-12-17,251,82,26,0.8905934858844575,0.22310756972111553
2015-01-28,483,127,27,0.8857909637825336,0.2070393374741201
2015-03-18,275,78,23,0.8800459189848466,0.2
2015-04-29,270,86,29,0.8634917826564223,0.2111111111111111
2015-06-17,282,75,18,0.8883462632801515,0.20212765957446807
2015-07-29,295,80,27,0.8687969637119164,0.17966101694915254
